InstrumentID,FromDate,Open,High,Low,Close
17,2020-02-28T21:00:00Z,45.3,45.42,45.11,45.26
17,2020-02-28T20:00:00Z,45.26,45.3,44.99,45.3
17,2020-02-28T19:00:00Z,44.82,45.41,44.65,45.25
17,2020-02-28T18:00:00Z,45.0,45.0,44.39,44.83
17,2020-02-28T17:00:00Z,44.78,45.19,44.55,44.98
17,2020-02-28T16:00:00Z,44.23,45.2,43.93,44.77
17,2020-02-28T15:00:00Z,45.1,45.2,44.2,44.22
17,2020-02-28T14:00:00Z,45.54,45.58,44.9,45.11
17,2020-02-28T13:00:00Z,45.8,45.88,45.27,45.55
17,2020-02-28T12:00:00Z,45.81,46.09,45.62,45.82
17,2020-02-28T11:00:00Z,45.38,45.96,45.31,45.82
17,2020-02-28T10:00:00Z,45.3,45.65,45.08,45.39
17,2020-02-28T09:00:00Z,45.81,45.83,45.01,45.3
17,2020-02-28T08:00:00Z,45.82,46.07,45.62,45.81
17,2020-02-28T07:00:00Z,45.67,45.88,45.54,45.83
17,2020-02-28T06:00:00Z,45.62,45.77,45.52,45.7
17,2020-02-28T05:00:00Z,45.8,45.85,45.55,45.61
17,2020-02-28T04:00:00Z,45.98,46.08,45.77,45.8
17,2020-02-28T03:00:00Z,46.34,46.38,45.72,45.99
17,2020-02-28T02:00:00Z,46.52,46.64,46.25,46.33
17,2020-02-28T01:00:00Z,46.61,46.65,46.23,46.53
17,2020-02-28T00:00:00Z,46.83,46.96,46.44,46.61
17,2020-02-27T23:00:00Z,46.47,47.03,46.1,46.86
17,2020-02-27T21:00:00Z,46.76,46.85,46.22,46.37
17,2020-02-27T20:00:00Z,46.94,47.17,46.7,46.77
17,2020-02-27T19:00:00Z,46.65,47.28,46.56,46.94
17,2020-02-27T18:00:00Z,47.38,47.56,46.52,46.66
17,2020-02-27T17:00:00Z,47.06,47.77,46.97,47.38
17,2020-02-27T16:00:00Z,46.74,47.16,46.38,47.06
17,2020-02-27T15:00:00Z,46.44,46.75,45.91,46.75
17,2020-02-27T14:00:00Z,46.96,47.02,46.16,46.44
17,2020-02-27T13:00:00Z,47.31,47.4,46.75,46.97
17,2020-02-27T12:00:00Z,47.51,47.66,47.27,47.31
17,2020-02-27T11:00:00Z,47.73,47.78,47.5,47.51
17,2020-02-27T10:00:00Z,47.93,48.0,47.68,47.73
17,2020-02-27T09:00:00Z,48.27,48.41,47.87,47.93
17,2020-02-27T08:00:00Z,48.01,48.31,47.95,48.27
17,2020-02-27T07:00:00Z,47.99,48.25,47.96,48.02
17,2020-02-27T06:00:00Z,48.08,48.1,47.84,47.99
17,2020-02-27T05:00:00Z,47.94,48.11,47.92,48.08
17,2020-02-27T04:00:00Z,48.1,48.14,47.93,47.95
17,2020-02-27T03:00:00Z,48.07,48.18,48.02,48.11
17,2020-02-27T02:00:00Z,47.96,48.16,47.84,48.08
17,2020-02-27T01:00:00Z,48.42,48.51,47.91,47.97
17,2020-02-27T00:00:00Z,48.41,48.54,48.22,48.44
17,2020-02-26T23:00:00Z,48.68,48.78,48.25,48.4
17,2020-02-26T21:00:00Z,48.73,48.77,48.59,48.66
17,2020-02-26T20:00:00Z,48.67,48.9,48.6,48.72
17,2020-02-26T19:00:00Z,48.34,48.87,48.34,48.65
17,2020-02-26T18:00:00Z,49.38,49.52,48.33,48.35
17,2020-02-26T17:00:00Z,49.53,49.6,49.28,49.39
17,2020-02-26T16:00:00Z,50.06,50.18,49.48,49.53
17,2020-02-26T15:00:00Z,50.07,50.46,49.78,50.06
17,2020-02-26T14:00:00Z,49.37,50.2,49.37,50.08
17,2020-02-26T13:00:00Z,49.22,49.43,49.08,49.38
17,2020-02-26T12:00:00Z,49.3,49.33,49.06,49.22
17,2020-02-26T11:00:00Z,49.27,49.6,49.26,49.3
17,2020-02-26T10:00:00Z,49.24,49.5,49.15,49.27
17,2020-02-26T09:00:00Z,49.44,49.51,49.0,49.23
17,2020-02-26T08:00:00Z,49.83,49.92,49.37,49.44
17,2020-02-26T07:00:00Z,49.93,49.96,49.58,49.84
17,2020-02-26T06:00:00Z,50.21,50.21,49.9,49.96
17,2020-02-26T05:00:00Z,50.32,50.34,50.17,50.21
17,2020-02-26T04:00:00Z,50.28,50.35,50.17,50.32
17,2020-02-26T03:00:00Z,50.29,50.41,50.22,50.27
17,2020-02-26T02:00:00Z,50.3,50.42,50.23,50.27
17,2020-02-26T01:00:00Z,50.22,50.41,50.04,50.3
17,2020-02-26T00:00:00Z,50.2,50.32,50.17,50.23
17,2020-02-25T23:00:00Z,50.13,50.25,50.03,50.19
17,2020-02-25T21:00:00Z,49.8,50.18,49.8,50.07
17,2020-02-25T20:00:00Z,49.83,49.98,49.77,49.8
17,2020-02-25T19:00:00Z,50.1,50.19,49.75,49.82
17,2020-02-25T18:00:00Z,50.58,50.67,50.08,50.1
17,2020-02-25T17:00:00Z,50.69,50.73,50.43,50.61
17,2020-02-25T16:00:00Z,50.66,50.81,50.48,50.68
17,2020-02-25T15:00:00Z,51.18,51.25,50.42,50.69
17,2020-02-25T14:00:00Z,51.41,51.49,50.99,51.17
17,2020-02-25T13:00:00Z,51.44,51.77,51.25,51.42
17,2020-02-25T12:00:00Z,51.35,51.48,51.16,51.45
17,2020-02-25T11:00:00Z,51.22,51.51,51.08,51.35
17,2020-02-25T10:00:00Z,51.36,51.46,51.08,51.22
17,2020-02-25T09:00:00Z,51.5,51.61,51.27,51.36
17,2020-02-25T08:00:00Z,51.85,51.91,51.42,51.49
17,2020-02-25T07:00:00Z,51.89,52.05,51.76,51.86
17,2020-02-25T06:00:00Z,51.72,51.94,51.65,51.88
17,2020-02-25T05:00:00Z,51.63,51.73,51.55,51.72
17,2020-02-25T04:00:00Z,51.56,51.65,51.51,51.63
17,2020-02-25T03:00:00Z,51.65,51.7,51.5,51.59
17,2020-02-25T02:00:00Z,51.61,51.8,51.6,51.66
17,2020-02-25T01:00:00Z,51.71,51.75,51.52,51.59
17,2020-02-25T00:00:00Z,51.45,51.76,51.43,51.71
17,2020-02-24T23:00:00Z,51.28,51.63,51.25,51.46
17,2020-02-24T21:00:00Z,51.25,51.39,51.16,51.35
17,2020-02-24T20:00:00Z,51.57,51.66,51.22,51.25
17,2020-02-24T19:00:00Z,51.05,51.63,51.05,51.59
17,2020-02-24T18:00:00Z,50.69,51.1,50.45,51.03
17,2020-02-24T17:00:00Z,50.7,50.81,50.58,50.7
17,2020-02-24T16:00:00Z,51.08,51.11,50.71,50.71
17,2020-02-24T15:00:00Z,51.2,51.29,50.9,51.08
17,2020-02-24T14:00:00Z,51.02,51.22,50.76,51.2
17,2020-02-24T13:00:00Z,51.31,51.45,50.93,51.02
17,2020-02-24T12:00:00Z,51.29,51.45,51.23,51.31
17,2020-02-24T11:00:00Z,51.46,51.48,51.25,51.29
