InstrumentID,FromDate,Open,High,Low,Close
18,2020-02-28T21:30:00Z,1582.64,1583.72,1582.64,1583.4
18,2020-02-28T21:25:00Z,1580.41,1582.66,1579.57,1582.43
18,2020-02-28T21:20:00Z,1579.52,1580.55,1579.02,1580.2
18,2020-02-28T21:15:00Z,1581.54,1582.02,1577.46,1579.52
18,2020-02-28T21:10:00Z,1583.06,1584.53,1581.16,1581.53
18,2020-02-28T21:05:00Z,1580.43,1583.84,1580.43,1583.52
18,2020-02-28T21:00:00Z,1578.63,1581.94,1577.11,1580.53
18,2020-02-28T20:55:00Z,1577.46,1579.49,1575.89,1578.94
18,2020-02-28T20:50:00Z,1580.95,1581.05,1576.85,1577.55
18,2020-02-28T20:45:00Z,1583.93,1584.02,1580.66,1581.17
18,2020-02-28T20:40:00Z,1582.74,1583.97,1582.66,1583.92
18,2020-02-28T20:35:00Z,1583.36,1584.67,1582.44,1582.77
18,2020-02-28T20:30:00Z,1582.74,1584.41,1582.34,1583.36
18,2020-02-28T20:25:00Z,1582.72,1588.17,1582.69,1582.74
18,2020-02-28T20:20:00Z,1580.9,1583.15,1580.33,1583.04
18,2020-02-28T20:15:00Z,1580.33,1581.68,1579.6,1580.81
18,2020-02-28T20:10:00Z,1582.48,1583.97,1579.54,1579.94
18,2020-02-28T20:05:00Z,1579.76,1584.0,1579.08,1582.36
18,2020-02-28T20:00:00Z,1583.07,1585.21,1577.78,1579.81
18,2020-02-28T19:55:00Z,1586.92,1587.16,1581.88,1583.24
18,2020-02-28T19:50:00Z,1591.38,1592.63,1582.93,1586.35
18,2020-02-28T19:45:00Z,1586.46,1591.92,1586.26,1591.39
18,2020-02-28T19:40:00Z,1577.71,1588.38,1576.92,1586.59
18,2020-02-28T19:35:00Z,1573.71,1578.92,1573.65,1577.17
18,2020-02-28T19:30:00Z,1568.4,1576.56,1566.03,1573.56
18,2020-02-28T19:25:00Z,1570.33,1570.88,1567.65,1568.52
18,2020-02-28T19:20:00Z,1566.2,1570.44,1565.32,1570.3
18,2020-02-28T19:15:00Z,1568.38,1569.2,1565.52,1566.34
18,2020-02-28T19:10:00Z,1570.09,1570.09,1564.9,1568.38
18,2020-02-28T19:05:00Z,1572.22,1572.22,1567.39,1570.13
18,2020-02-28T19:00:00Z,1574.0,1574.35,1571.97,1572.07
18,2020-02-28T18:55:00Z,1575.96,1576.26,1573.99,1574.04
18,2020-02-28T18:50:00Z,1576.07,1578.01,1574.59,1576.18
18,2020-02-28T18:45:00Z,1573.55,1576.08,1570.23,1576.08
18,2020-02-28T18:40:00Z,1572.51,1574.29,1571.39,1573.71
18,2020-02-28T18:35:00Z,1570.61,1573.59,1570.47,1572.47
18,2020-02-28T18:30:00Z,1567.48,1573.5,1567.4,1570.63
18,2020-02-28T18:25:00Z,1574.1,1575.07,1562.68,1567.54
18,2020-02-28T18:20:00Z,1576.37,1577.36,1572.85,1574.51
18,2020-02-28T18:15:00Z,1577.01,1578.21,1576.28,1576.37
18,2020-02-28T18:10:00Z,1580.31,1580.31,1576.41,1577.04
18,2020-02-28T18:05:00Z,1581.32,1581.34,1579.51,1580.31
18,2020-02-28T18:00:00Z,1583.55,1583.55,1580.51,1581.05
18,2020-02-28T17:55:00Z,1582.5,1584.62,1582.26,1583.61
18,2020-02-28T17:50:00Z,1584.04,1584.04,1581.57,1582.73
