InstrumentID,FromDate,Open,High,Low,Close
22,2020-03-04T16:00:00Z,1.821,1.823,1.814,1.82
22,2020-03-04T15:40:00Z,1.823,1.828,1.815,1.822
22,2020-03-04T15:30:00Z,1.829,1.833,1.823,1.824
22,2020-03-04T15:20:00Z,1.829,1.833,1.828,1.831
22,2020-03-04T15:10:00Z,1.828,1.837,1.826,1.83
22,2020-03-04T15:00:00Z,1.832,1.836,1.819,1.824
22,2020-03-04T14:50:00Z,1.838,1.84,1.824,1.834
22,2020-03-04T14:40:00Z,1.839,1.839,1.826,1.833
22,2020-03-04T14:30:00Z,1.834,1.848,1.827,1.838
22,2020-03-04T14:20:00Z,1.829,1.837,1.826,1.833
22,2020-03-04T14:10:00Z,1.837,1.842,1.823,1.831
22,2020-03-04T14:00:00Z,1.807,1.836,1.803,1.834
22,2020-03-04T13:50:00Z,1.809,1.813,1.805,1.806
22,2020-03-04T13:40:00Z,1.807,1.809,1.801,1.808
22,2020-03-04T13:30:00Z,1.811,1.811,1.797,1.806
22,2020-03-04T13:20:00Z,1.803,1.812,1.8,1.81
22,2020-03-04T13:10:00Z,1.816,1.818,1.801,1.802
22,2020-03-04T13:00:00Z,1.813,1.82,1.813,1.815
22,2020-03-04T12:50:00Z,1.816,1.82,1.815,1.818
22,2020-03-04T12:40:00Z,1.811,1.818,1.808,1.817
22,2020-03-04T12:30:00Z,1.811,1.819,1.81,1.814
22,2020-03-04T12:20:00Z,1.803,1.812,1.803,1.812
22,2020-03-04T12:10:00Z,1.801,1.801,1.8,1.801
22,2020-03-04T12:00:00Z,1.801,1.801,1.799,1.8
22,2020-03-04T11:50:00Z,1.797,1.801,1.797,1.8
22,2020-03-04T11:40:00Z,1.796,1.796,1.794,1.796
22,2020-03-04T11:30:00Z,1.794,1.795,1.791,1.795
22,2020-03-04T11:20:00Z,1.793,1.795,1.792,1.795
22,2020-03-04T11:10:00Z,1.79,1.794,1.79,1.792
22,2020-03-04T11:00:00Z,1.799,1.801,1.791,1.791
22,2020-03-04T10:50:00Z,1.795,1.795,1.79,1.791
22,2020-03-04T10:40:00Z,1.798,1.799,1.788,1.796
22,2020-03-04T10:30:00Z,1.799,1.806,1.798,1.798
22,2020-03-04T10:20:00Z,1.801,1.801,1.798,1.798
22,2020-03-04T10:10:00Z,1.803,1.803,1.8,1.802
22,2020-03-04T10:00:00Z,1.795,1.802,1.789,1.802
22,2020-03-04T09:50:00Z,1.801,1.801,1.795,1.796
22,2020-03-04T09:40:00Z,1.802,1.803,1.8,1.8
22,2020-03-04T09:30:00Z,1.801,1.81,1.801,1.803
22,2020-03-04T09:20:00Z,1.799,1.803,1.798,1.802
22,2020-03-04T09:10:00Z,1.795,1.8,1.795,1.8
22,2020-03-04T09:00:00Z,1.798,1.799,1.792,1.796
22,2020-03-04T08:50:00Z,1.794,1.797,1.792,1.797
22,2020-03-04T08:40:00Z,1.793,1.798,1.792,1.793
22,2020-03-04T08:30:00Z,1.794,1.795,1.79,1.794
22,2020-03-04T08:20:00Z,1.793,1.794,1.79,1.793
22,2020-03-04T08:10:00Z,1.795,1.799,1.794,1.794
22,2020-03-04T08:00:00Z,1.785,1.8,1.784,1.799
22,2020-03-04T07:50:00Z,1.791,1.791,1.791,1.791
22,2020-03-04T07:40:00Z,1.8,1.802,1.789,1.792
22,2020-03-04T07:30:00Z,1.805,1.806,1.794,1.795
22,2020-03-04T07:20:00Z,1.805,1.806,1.8,1.804
22,2020-03-04T07:10:00Z,1.806,1.807,1.795,1.8
22,2020-03-04T07:00:00Z,1.812,1.812,1.806,1.808
22,2020-03-04T06:50:00Z,1.808,1.808,1.804,1.806
22,2020-03-04T06:40:00Z,1.81,1.811,1.807,1.808
22,2020-03-04T06:30:00Z,1.811,1.811,1.804,1.809
22,2020-03-04T06:20:00Z,1.812,1.812,1.808,1.812
22,2020-03-04T06:10:00Z,1.812,1.812,1.809,1.811
22,2020-03-04T06:00:00Z,1.812,1.813,1.811,1.813
22,2020-03-04T05:50:00Z,1.814,1.814,1.813,1.813
22,2020-03-04T05:40:00Z,1.811,1.813,1.809,1.813
22,2020-03-04T05:30:00Z,1.809,1.81,1.808,1.81
22,2020-03-04T05:20:00Z,1.811,1.813,1.807,1.807
22,2020-03-04T05:10:00Z,1.81,1.813,1.81,1.812
22,2020-03-04T05:00:00Z,1.815,1.815,1.811,1.811
22,2020-03-04T04:50:00Z,1.812,1.814,1.812,1.814
22,2020-03-04T04:40:00Z,1.812,1.812,1.811,1.811
22,2020-03-04T04:30:00Z,1.81,1.813,1.81,1.811
22,2020-03-04T04:20:00Z,1.813,1.813,1.809,1.811
22,2020-03-04T04:10:00Z,1.81,1.813,1.81,1.812
22,2020-03-04T04:00:00Z,1.811,1.811,1.809,1.809
22,2020-03-04T03:50:00Z,1.81,1.812,1.81,1.812
22,2020-03-04T03:40:00Z,1.813,1.814,1.812,1.812
22,2020-03-04T03:30:00Z,1.815,1.823,1.813,1.814
22,2020-03-04T03:20:00Z,1.813,1.815,1.813,1.814
22,2020-03-04T03:10:00Z,1.812,1.815,1.812,1.814
22,2020-03-04T03:00:00Z,1.81,1.811,1.81,1.811
22,2020-03-04T02:50:00Z,1.812,1.812,1.807,1.809
22,2020-03-04T02:40:00Z,1.811,1.813,1.81,1.811
22,2020-03-04T02:30:00Z,1.812,1.813,1.81,1.81
22,2020-03-04T02:20:00Z,1.809,1.811,1.808,1.811
22,2020-03-04T02:10:00Z,1.81,1.81,1.809,1.81
22,2020-03-04T02:00:00Z,1.811,1.811,1.809,1.809
22,2020-03-04T01:50:00Z,1.811,1.811,1.809,1.81
22,2020-03-04T01:40:00Z,1.81,1.81,1.81,1.81
22,2020-03-04T01:30:00Z,1.815,1.815,1.811,1.811
22,2020-03-04T01:20:00Z,1.815,1.816,1.814,1.816
22,2020-03-04T01:10:00Z,1.809,1.815,1.809,1.814
22,2020-03-04T01:00:00Z,1.811,1.814,1.809,1.809
22,2020-03-04T00:50:00Z,1.816,1.816,1.81,1.81
22,2020-03-04T00:40:00Z,1.816,1.818,1.815,1.817
22,2020-03-04T00:30:00Z,1.812,1.822,1.812,1.815
22,2020-03-04T00:20:00Z,1.811,1.811,1.809,1.811
22,2020-03-04T00:10:00Z,1.817,1.818,1.807,1.81
22,2020-03-04T00:00:00Z,1.814,1.823,1.814,1.823
