InstrumentID,FromDate,Open,High,Low,Close
22,2020-03-05T18:00:00Z,1.789,1.796,1.785,1.793
22,2020-03-05T17:30:00Z,1.793,1.796,1.779,1.788
22,2020-03-05T17:00:00Z,1.794,1.801,1.79,1.791
22,2020-03-05T16:30:00Z,1.797,1.808,1.787,1.795
22,2020-03-05T16:00:00Z,1.811,1.819,1.796,1.798
22,2020-03-05T15:30:00Z,1.817,1.826,1.7919999999999998,1.81
22,2020-03-05T15:00:00Z,1.815,1.826,1.814,1.816
22,2020-03-05T14:30:00Z,1.824,1.83,1.804,1.814
22,2020-03-05T14:00:00Z,1.82,1.826,1.809,1.825
22,2020-03-05T13:30:00Z,1.807,1.827,1.807,1.821
22,2020-03-05T13:00:00Z,1.83,1.834,1.801,1.805
22,2020-03-05T12:30:00Z,1.838,1.841,1.823,1.829
22,2020-03-05T12:00:00Z,1.843,1.845,1.839,1.839
22,2020-03-05T11:30:00Z,1.852,1.852,1.838,1.842
22,2020-03-05T11:00:00Z,1.843,1.856,1.838,1.851
22,2020-03-05T10:30:00Z,1.84,1.843,1.834,1.842
22,2020-03-05T10:00:00Z,1.843,1.844,1.836,1.841
22,2020-03-05T09:30:00Z,1.841,1.851,1.839,1.843
22,2020-03-05T09:00:00Z,1.839,1.847,1.836,1.84
22,2020-03-05T08:30:00Z,1.838,1.843,1.836,1.84
22,2020-03-05T08:00:00Z,1.832,1.846,1.831,1.837
22,2020-03-05T07:30:00Z,1.836,1.836,1.831,1.833
22,2020-03-05T07:00:00Z,1.829,1.836,1.829,1.836
22,2020-03-05T06:30:00Z,1.832,1.832,1.828,1.828
22,2020-03-05T06:00:00Z,1.837,1.838,1.828,1.831
22,2020-03-05T05:30:00Z,1.829,1.839,1.829,1.838
22,2020-03-05T05:00:00Z,1.833,1.834,1.825,1.828
22,2020-03-05T04:30:00Z,1.834,1.835,1.832,1.834
22,2020-03-05T04:00:00Z,1.833,1.835,1.831,1.833
22,2020-03-05T03:30:00Z,1.837,1.837,1.831,1.832
22,2020-03-05T03:00:00Z,1.837,1.838,1.837,1.838
22,2020-03-05T02:30:00Z,1.837,1.838,1.834,1.838
22,2020-03-05T02:00:00Z,1.839,1.84,1.836,1.836
22,2020-03-05T01:30:00Z,1.839,1.841,1.839,1.84
22,2020-03-05T01:00:00Z,1.843,1.843,1.838,1.84
22,2020-03-05T00:30:00Z,1.838,1.842,1.837,1.842
22,2020-03-05T00:00:00Z,1.84,1.841,1.832,1.837
22,2020-03-04T23:30:00Z,1.834,1.841,1.834,1.841
