InstrumentID,FromDate,Open,High,Low,Close
19,2020-03-05T00:00:00Z,17.2,17.4,17.11,17.3
19,2020-03-03T00:00:00Z,16.7,17.44,16.7,17.19
19,2020-03-02T00:00:00Z,16.53,17.06,16.39,16.71
19,2020-02-28T00:00:00Z,17.71,17.84,16.36,16.58
19,2020-02-27T00:00:00Z,17.87,18.14,17.6,17.75
19,2020-02-26T00:00:00Z,17.96,18.2,17.74,17.89
19,2020-02-25T00:00:00Z,18.62,18.65,17.85,18.01
19,2020-02-24T00:00:00Z,18.63,18.94,18.48,18.6
19,2020-02-21T00:00:00Z,18.34,18.61,18.33,18.48
19,2020-02-20T00:00:00Z,18.37,18.45,18.17,18.33
19,2020-02-19T00:00:00Z,18.14,18.46,18.12,18.4
19,2020-02-18T00:00:00Z,17.76,18.2,17.75,18.14
19,2020-02-17T00:00:00Z,17.7,17.88,17.64,17.68
19,2020-02-14T00:00:00Z,17.62,17.81,17.59,17.72
19,2020-02-13T00:00:00Z,17.43,17.73,17.43,17.62
19,2020-02-12T00:00:00Z,17.62,17.64,17.43,17.45
19,2020-02-11T00:00:00Z,17.74,17.78,17.53,17.62
19,2020-02-10T00:00:00Z,17.7,17.83,17.63,17.74
19,2020-02-07T00:00:00Z,17.79,17.84,17.61,17.68
19,2020-02-06T00:00:00Z,17.59,17.86,17.57,17.79
19,2020-02-05T00:00:00Z,17.58,17.72,17.46,17.57
19,2020-02-04T00:00:00Z,17.66,17.78,17.49,17.56
19,2020-02-03T00:00:00Z,18.03,18.09,17.56,17.65
19,2020-01-31T00:00:00Z,17.81,18.07,17.76,18.03
19,2020-01-30T00:00:00Z,17.52,18.02,17.51,17.8
19,2020-01-29T00:00:00Z,17.44,17.59,17.35,17.53
19,2020-01-28T00:00:00Z,18.06,18.1,17.42,17.44
19,2020-01-27T00:00:00Z,18.28,18.34,17.99,18.07
19,2020-01-24T00:00:00Z,17.79,18.14,17.72,18.08
19,2020-01-23T00:00:00Z,17.81,17.89,17.54,17.77
19,2020-01-22T00:00:00Z,17.79,17.92,17.63,17.81
19,2020-01-21T00:00:00Z,18.01,18.13,17.63,17.76
19,2020-01-20T00:00:00Z,18.02,18.11,17.97,18.04
19,2020-01-17T00:00:00Z,17.91,18.15,17.86,17.98
19,2020-01-16T00:00:00Z,17.97,18.02,17.82,17.91
19,2020-01-15T00:00:00Z,17.77,18.02,17.69,17.97
19,2020-01-14T00:00:00Z,17.94,17.94,17.63,17.77
19,2020-01-13T00:00:00Z,18.06,18.09,17.88,17.93
19,2020-01-10T00:00:00Z,17.88,18.14,17.82,18.06
19,2020-01-09T00:00:00Z,18.07,18.18,17.77,17.87
19,2020-01-08T00:00:00Z,18.36,18.82,18.02,18.07
19,2020-01-07T00:00:00Z,18.12,18.42,17.89,18.37
19,2020-01-06T00:00:00Z,18.14,18.48,17.96,18.13
19,2020-01-03T00:00:00Z,17.99,18.25,17.94,18.01
19,2020-01-02T00:00:00Z,17.89,18.08,17.75,18.0
19,2019-12-31T00:00:00Z,17.9,18.14,17.82,17.84
19,2019-12-30T00:00:00Z,17.76,17.94,17.72,17.9
19,2019-12-27T00:00:00Z,17.87,17.97,17.72,17.74
19,2019-12-26T00:00:00Z,17.75,18.05,17.69,17.87
19,2019-12-24T00:00:00Z,17.41,17.77,17.33,17.75
19,2019-12-23T00:00:00Z,17.16,17.44,17.13,17.44
19,2019-12-20T00:00:00Z,17.04,17.23,17.0,17.16
19,2019-12-19T00:00:00Z,16.98,17.11,16.86,17.04
19,2019-12-18T00:00:00Z,16.98,17.05,16.83,16.99
19,2019-12-17T00:00:00Z,17.02,17.1,16.9,16.98
19,2019-12-16T00:00:00Z,16.94,17.08,16.85,17.01
19,2019-12-13T00:00:00Z,16.91,17.0,16.81,16.91
19,2019-12-12T00:00:00Z,16.84,17.07,16.73,16.91
19,2019-12-11T00:00:00Z,16.64,16.94,16.55,16.83
19,2019-12-10T00:00:00Z,16.58,16.69,16.55,16.64
19,2019-12-09T00:00:00Z,16.54,16.65,16.5,16.58
19,2019-12-06T00:00:00Z,16.93,16.97,16.5,16.53
19,2019-12-05T00:00:00Z,16.83,17.0,16.79,16.94
19,2019-12-04T00:00:00Z,17.14,17.29,16.77,16.82
19,2019-12-03T00:00:00Z,16.88,17.19,16.84,17.14
19,2019-12-02T00:00:00Z,16.98,16.99,16.8,16.88
19,2019-11-29T00:00:00Z,16.91,17.04,16.83,16.98
19,2019-11-28T00:00:00Z,16.93,16.99,16.89,16.92
19,2019-11-27T00:00:00Z,17.06,17.06,16.9,16.93
19,2019-11-26T00:00:00Z,16.85,17.09,16.8,17.05
19,2019-11-25T00:00:00Z,16.95,16.97,16.8,16.86
19,2019-11-22T00:00:00Z,17.07,17.21,16.94,16.97
19,2019-11-21T00:00:00Z,17.14,17.17,17.01,17.08
19,2019-11-20T00:00:00Z,17.12,17.2,16.99,17.12
19,2019-11-19T00:00:00Z,17.0,17.17,16.94,17.12
19,2019-11-18T00:00:00Z,16.94,17.05,16.73,17.01
19,2019-11-15T00:00:00Z,17.0,17.02,16.79,16.92
19,2019-11-14T00:00:00Z,16.93,17.09,16.85,16.99
19,2019-11-13T00:00:00Z,16.74,17.0,16.74,16.94
19,2019-11-12T00:00:00Z,16.8,16.87,16.62,16.74
19,2019-11-11T00:00:00Z,16.8,16.94,16.62,16.83
19,2019-11-08T00:00:00Z,17.08,17.12,16.65,16.78
19,2019-11-07T00:00:00Z,17.59,17.64,16.95,17.11
19,2019-11-06T00:00:00Z,17.54,17.63,17.33,17.61
19,2019-11-05T00:00:00Z,18.04,18.06,17.52,17.58
19,2019-11-04T00:00:00Z,18.06,18.19,17.91,18.03
19,2019-11-01T00:00:00Z,18.08,18.15,17.9,18.07
