InstrumentID,FromDate,Open,High,Low,Close
19,2020-03-05T17:30:00Z,17.31,17.35,17.29,17.3
19,2020-03-05T16:30:00Z,17.28,17.32,17.27,17.3
19,2020-03-05T16:00:00Z,17.3,17.31,17.24,17.26
19,2020-03-05T15:30:00Z,17.25,17.32,17.23,17.3
19,2020-03-05T15:00:00Z,17.28,17.35,17.23,17.25
19,2020-03-05T14:30:00Z,17.28,17.33,17.2,17.29
19,2020-03-05T14:00:00Z,17.26,17.29,17.2,17.27
19,2020-03-05T13:30:00Z,17.27,17.33,17.19,17.28
19,2020-03-05T13:00:00Z,17.35,17.36,17.27,17.28
19,2020-03-05T12:30:00Z,17.35,17.35,17.27,17.32
19,2020-03-05T12:00:00Z,17.19,17.4,17.16,17.35
19,2020-03-05T11:30:00Z,17.2,17.21,17.18,17.19
19,2020-03-05T11:00:00Z,17.21,17.25,17.19,17.2
19,2020-03-05T10:30:00Z,17.2,17.21,17.18,17.21
19,2020-03-05T10:00:00Z,17.18,17.25,17.18,17.19
19,2020-03-05T09:30:00Z,17.2,17.2,17.16,17.18
19,2020-03-05T09:00:00Z,17.16,17.21,17.16,17.19
19,2020-03-05T08:30:00Z,17.16,17.17,17.13,17.16
19,2020-03-05T08:00:00Z,17.13,17.17,17.13,17.16
19,2020-03-05T07:30:00Z,17.17,17.18,17.13,17.13
19,2020-03-05T07:00:00Z,17.2,17.22,17.16,17.17
19,2020-03-05T06:30:00Z,17.16,17.2,17.15,17.2
19,2020-03-05T06:00:00Z,17.16,17.17,17.13,17.16
19,2020-03-05T05:30:00Z,17.18,17.19,17.15,17.16
19,2020-03-05T05:00:00Z,17.18,17.19,17.18,17.18
19,2020-03-05T04:30:00Z,17.19,17.19,17.18,17.18
19,2020-03-05T04:00:00Z,17.19,17.19,17.18,17.19
19,2020-03-05T03:30:00Z,17.18,17.2,17.18,17.19
19,2020-03-05T03:00:00Z,17.18,17.2,17.18,17.18
19,2020-03-05T02:30:00Z,17.2,17.2,17.17,17.18
19,2020-03-05T02:00:00Z,17.15,17.21,17.14,17.2
19,2020-03-05T01:30:00Z,17.18,17.19,17.11,17.14
19,2020-03-05T01:00:00Z,17.21,17.24,17.16,17.18
19,2020-03-05T00:30:00Z,17.18,17.21,17.17,17.2
19,2020-03-05T00:00:00Z,17.15,17.18,17.15,17.18
19,2020-03-04T23:30:00Z,17.18,17.18,17.15,17.15
19,2020-03-04T23:00:00Z,17.2,17.2,17.15,17.18
19,2020-03-04T21:30:00Z,17.19,17.22,17.18,17.22
19,2020-03-04T21:00:00Z,17.21,17.21,17.18,17.19
19,2020-03-04T20:30:00Z,17.21,17.22,17.19,17.22
19,2020-03-04T20:00:00Z,17.21,17.24,17.19,17.21
19,2020-03-04T19:30:00Z,17.21,17.24,17.18,17.21
19,2020-03-04T19:00:00Z,17.19,17.21,17.15,17.2
19,2020-03-04T18:30:00Z,17.21,17.26,17.18,17.19
19,2020-03-04T18:00:00Z,17.21,17.26,17.17,17.21
19,2020-03-04T17:30:00Z,17.18,17.21,17.15,17.21
19,2020-03-04T17:00:00Z,17.12,17.17,17.11,17.15
19,2020-03-04T16:30:00Z,17.11,17.15,17.09,17.12
19,2020-03-04T16:00:00Z,17.14,17.16,17.09,17.11
19,2020-03-04T15:30:00Z,17.09,17.14,17.06,17.14
19,2020-03-04T15:00:00Z,17.11,17.18,17.04,17.08
19,2020-03-04T14:30:00Z,17.14,17.17,17.07,17.13
19,2020-03-04T14:00:00Z,17.12,17.19,17.12,17.14
19,2020-03-04T13:30:00Z,17.16,17.16,17.09,17.12
19,2020-03-04T13:00:00Z,17.21,17.21,17.15,17.16
19,2020-03-04T12:30:00Z,17.21,17.26,17.2,17.24
19,2020-03-04T12:00:00Z,17.22,17.27,17.21,17.21
19,2020-03-04T11:30:00Z,17.22,17.25,17.18,17.22
19,2020-03-04T11:00:00Z,17.2,17.25,17.19,17.22
19,2020-03-04T10:30:00Z,17.24,17.29,17.18,17.21
19,2020-03-04T10:00:00Z,17.21,17.28,17.21,17.24
19,2020-03-04T09:30:00Z,17.19,17.28,17.19,17.21
19,2020-03-04T09:00:00Z,17.17,17.22,17.16,17.19
19,2020-03-04T08:30:00Z,17.13,17.2,17.13,17.17
19,2020-03-04T08:00:00Z,17.12,17.18,17.12,17.14
19,2020-03-04T07:30:00Z,17.18,17.2,17.13,17.13
19,2020-03-04T07:00:00Z,17.23,17.23,17.11,17.16
19,2020-03-04T06:30:00Z,17.18,17.25,17.18,17.23
19,2020-03-04T06:00:00Z,17.24,17.26,17.18,17.19
19,2020-03-04T05:30:00Z,17.28,17.3,17.18,17.24
19,2020-03-04T05:00:00Z,17.24,17.33,17.22,17.28
19,2020-03-04T04:30:00Z,17.22,17.24,17.22,17.24
19,2020-03-04T04:00:00Z,17.19,17.22,17.18,17.22
19,2020-03-04T03:30:00Z,17.18,17.21,17.14,17.19
19,2020-03-04T03:00:00Z,17.23,17.24,17.18,17.18
19,2020-03-04T02:30:00Z,17.22,17.26,17.19,17.23
19,2020-03-04T02:00:00Z,17.2,17.23,17.18,17.23
19,2020-03-04T01:30:00Z,17.21,17.24,17.18,17.2
19,2020-03-04T01:00:00Z,17.27,17.3,17.14,17.21
19,2020-03-04T00:30:00Z,17.23,17.28,17.2,17.24
19,2020-03-04T00:00:00Z,17.23,17.24,17.2,17.23
19,2020-03-03T23:30:00Z,17.27,17.28,17.22,17.23
19,2020-03-03T23:00:00Z,17.16,17.31,17.16,17.27
19,2020-03-03T21:30:00Z,17.13,17.22,17.12,17.19
19,2020-03-03T21:00:00Z,17.13,17.18,17.11,17.15
19,2020-03-03T20:30:00Z,17.12,17.16,17.06,17.14
19,2020-03-03T20:00:00Z,16.99,17.14,16.97,17.12
19,2020-03-03T19:30:00Z,17.14,17.15,16.97,16.99
19,2020-03-03T19:00:00Z,17.22,17.25,17.05,17.14
19,2020-03-03T18:30:00Z,17.19,17.29,17.16,17.23
19,2020-03-03T18:00:00Z,17.21,17.25,17.12,17.16
19,2020-03-03T17:30:00Z,17.25,17.27,17.14,17.21
19,2020-03-03T17:00:00Z,17.19,17.25,17.15,17.22
19,2020-03-03T16:30:00Z,17.16,17.3,17.14,17.19
19,2020-03-03T16:00:00Z,17.26,17.36,17.07,17.15
19,2020-03-03T15:30:00Z,17.16,17.44,17.16,17.27
19,2020-03-03T15:00:00Z,16.88,17.2,16.88,17.17
19,2020-03-03T14:30:00Z,16.82,16.91,16.79,16.9
19,2020-03-03T14:00:00Z,16.81,16.86,16.79,16.82
19,2020-03-03T13:30:00Z,16.82,16.84,16.76,16.82
19,2020-03-03T13:00:00Z,16.84,16.84,16.76,16.82
19,2020-03-03T12:30:00Z,16.8,16.85,16.78,16.84
19,2020-03-03T12:00:00Z,16.78,16.85,16.77,16.8
19,2020-03-03T11:30:00Z,16.83,16.84,16.77,16.78
19,2020-03-03T11:00:00Z,16.78,16.85,16.78,16.83
19,2020-03-03T10:30:00Z,16.79,16.85,16.78,16.78
19,2020-03-03T10:00:00Z,16.78,16.8,16.76,16.79
19,2020-03-03T09:30:00Z,16.73,16.78,16.73,16.78
19,2020-03-03T09:00:00Z,16.74,16.78,16.73,16.73
19,2020-03-03T08:30:00Z,16.74,16.78,16.72,16.74
19,2020-03-03T08:00:00Z,16.75,16.79,16.73,16.75
19,2020-03-03T07:30:00Z,16.76,16.79,16.74,16.75
19,2020-03-03T07:00:00Z,16.76,16.79,16.74,16.79
19,2020-03-03T06:30:00Z,16.77,16.85,16.74,16.76
19,2020-03-03T06:00:00Z,16.87,16.88,16.7,16.77
19,2020-03-03T05:30:00Z,16.89,16.89,16.85,16.89
19,2020-03-03T05:00:00Z,16.9,16.91,16.88,16.89
19,2020-03-03T04:30:00Z,16.89,16.9,16.87,16.9
19,2020-03-03T04:00:00Z,16.88,16.91,16.88,16.89
19,2020-03-03T03:30:00Z,16.89,16.92,16.89,16.89
19,2020-03-03T03:00:00Z,16.91,16.91,16.84,16.89
19,2020-03-03T02:30:00Z,16.92,16.94,16.89,16.91
19,2020-03-03T02:00:00Z,16.91,16.94,16.89,16.92
19,2020-03-03T01:30:00Z,16.93,16.94,16.88,16.91
19,2020-03-03T01:00:00Z,16.82,16.98,16.82,16.93
19,2020-03-03T00:30:00Z,16.82,16.85,16.75,16.82
19,2020-03-03T00:00:00Z,16.79,16.86,16.78,16.83
19,2020-03-02T23:30:00Z,16.79,16.84,16.77,16.79
19,2020-03-02T23:00:00Z,16.7,16.81,16.7,16.79
19,2020-03-02T21:30:00Z,16.72,16.75,16.7,16.71
19,2020-03-02T21:00:00Z,16.64,16.74,16.64,16.72
19,2020-03-02T20:30:00Z,16.72,16.73,16.63,16.64
19,2020-03-02T20:00:00Z,16.73,16.77,16.71,16.72
19,2020-03-02T19:30:00Z,16.76,16.78,16.72,16.73
19,2020-03-02T19:00:00Z,16.71,16.79,16.7,16.77
19,2020-03-02T18:30:00Z,16.73,16.77,16.68,16.71
19,2020-03-02T18:00:00Z,16.73,16.78,16.68,16.73
19,2020-03-02T17:30:00Z,16.74,16.82,16.72,16.73
19,2020-03-02T17:00:00Z,16.76,16.81,16.72,16.74
19,2020-03-02T16:30:00Z,16.7,16.77,16.69,16.77
19,2020-03-02T16:00:00Z,16.69,16.79,16.68,16.71
19,2020-03-02T15:30:00Z,16.64,16.74,16.63,16.69
19,2020-03-02T15:00:00Z,16.73,16.75,16.62,16.64
19,2020-03-02T14:30:00Z,16.71,16.78,16.66,16.71
19,2020-03-02T14:00:00Z,16.72,16.74,16.63,16.71
19,2020-03-02T13:30:00Z,16.68,16.73,16.62,16.72
19,2020-03-02T13:00:00Z,16.76,16.81,16.65,16.68
19,2020-03-02T12:30:00Z,16.8,16.83,16.73,16.76
19,2020-03-02T12:00:00Z,16.79,16.9,16.79,16.8
19,2020-03-02T11:30:00Z,16.8,16.87,16.7,16.77
19,2020-03-02T11:00:00Z,16.9,16.94,16.8,16.8
19,2020-03-02T10:30:00Z,16.94,16.95,16.88,16.89
19,2020-03-02T10:00:00Z,16.96,16.96,16.9,16.93
19,2020-03-02T09:30:00Z,16.95,16.99,16.9,16.96
19,2020-03-02T09:00:00Z,17.0,17.03,16.95,16.95
19,2020-03-02T08:30:00Z,16.97,17.04,16.92,17.01
19,2020-03-02T08:00:00Z,16.88,17.02,16.88,16.97
19,2020-03-02T07:30:00Z,16.91,16.94,16.83,16.88
19,2020-03-02T07:00:00Z,16.91,16.97,16.87,16.89
19,2020-03-02T06:30:00Z,16.98,17.01,16.88,16.92
19,2020-03-02T06:00:00Z,16.97,17.02,16.96,16.98
19,2020-03-02T05:30:00Z,16.95,17.06,16.95,16.97
19,2020-03-02T05:00:00Z,16.94,16.99,16.89,16.94
19,2020-03-02T04:30:00Z,16.96,17.02,16.93,16.93
