InstrumentID,FromDate,Open,High,Low,Close
22,2020-03-05T17:45:00Z,1.788,1.789,1.787,1.787
22,2020-03-05T17:35:00Z,1.793,1.796,1.789,1.796
22,2020-03-05T17:30:00Z,1.793,1.793,1.792,1.793
22,2020-03-05T17:25:00Z,1.796,1.796,1.791,1.791
22,2020-03-05T17:20:00Z,1.8,1.8,1.792,1.797
22,2020-03-05T17:15:00Z,1.798,1.798,1.795,1.796
22,2020-03-05T17:10:00Z,1.8,1.801,1.799,1.799
22,2020-03-05T17:05:00Z,1.795,1.8,1.79,1.799
22,2020-03-05T17:00:00Z,1.794,1.797,1.791,1.796
22,2020-03-05T16:55:00Z,1.798,1.798,1.787,1.795
22,2020-03-05T16:50:00Z,1.797,1.802,1.795,1.801
22,2020-03-05T16:45:00Z,1.797,1.801,1.791,1.795
22,2020-03-05T16:40:00Z,1.8,1.8,1.791,1.798
22,2020-03-05T16:35:00Z,1.805,1.808,1.798,1.801
22,2020-03-05T16:30:00Z,1.797,1.802,1.794,1.802
22,2020-03-05T16:25:00Z,1.799,1.806,1.796,1.798
22,2020-03-05T16:20:00Z,1.806,1.81,1.798,1.798
22,2020-03-05T16:15:00Z,1.812,1.812,1.803,1.803
22,2020-03-05T16:10:00Z,1.811,1.813,1.804,1.813
22,2020-03-05T16:05:00Z,1.814,1.814,1.806,1.812
22,2020-03-05T16:00:00Z,1.811,1.819,1.81,1.813
22,2020-03-05T15:55:00Z,1.809,1.813,1.803,1.81
22,2020-03-05T15:50:00Z,1.803,1.817,1.801,1.814
22,2020-03-05T15:45:00Z,1.794,1.804,1.792,1.802
22,2020-03-05T15:40:00Z,1.804,1.804,1.792,1.795
22,2020-03-05T15:35:00Z,1.811,1.813,1.798,1.804
22,2020-03-05T15:30:00Z,1.817,1.826,1.808,1.814
22,2020-03-05T15:25:00Z,1.82,1.821,1.816,1.816
22,2020-03-05T15:20:00Z,1.826,1.826,1.819,1.819
22,2020-03-05T15:15:00Z,1.82,1.825,1.82,1.825
22,2020-03-05T15:10:00Z,1.82,1.823,1.82,1.821
22,2020-03-05T15:05:00Z,1.822,1.823,1.817,1.819
22,2020-03-05T15:00:00Z,1.815,1.821,1.814,1.821
22,2020-03-05T14:55:00Z,1.816,1.819,1.814,1.814
22,2020-03-05T14:50:00Z,1.806,1.822,1.804,1.822
22,2020-03-05T14:45:00Z,1.812,1.812,1.805,1.805
22,2020-03-05T14:40:00Z,1.827,1.829,1.813,1.814
22,2020-03-05T14:35:00Z,1.824,1.83,1.821,1.828
22,2020-03-05T14:30:00Z,1.824,1.825,1.82,1.823
22,2020-03-05T14:25:00Z,1.824,1.825,1.822,1.825
22,2020-03-05T14:20:00Z,1.819,1.825,1.819,1.824
22,2020-03-05T14:15:00Z,1.822,1.823,1.815,1.823
22,2020-03-05T14:10:00Z,1.82,1.826,1.82,1.824
22,2020-03-05T14:05:00Z,1.815,1.821,1.815,1.821
22,2020-03-05T14:00:00Z,1.82,1.824,1.809,1.816
22,2020-03-05T13:55:00Z,1.816,1.823,1.815,1.821
22,2020-03-05T13:50:00Z,1.815,1.821,1.811,1.815
22,2020-03-05T13:45:00Z,1.816,1.817,1.813,1.814
22,2020-03-05T13:40:00Z,1.82,1.825,1.815,1.815
22,2020-03-05T13:35:00Z,1.821,1.827,1.821,1.824
22,2020-03-05T13:30:00Z,1.807,1.82,1.807,1.82
22,2020-03-05T13:25:00Z,1.817,1.817,1.801,1.805
22,2020-03-05T13:20:00Z,1.826,1.828,1.817,1.817
22,2020-03-05T13:15:00Z,1.817,1.826,1.812,1.825
22,2020-03-05T13:10:00Z,1.822,1.826,1.815,1.816
22,2020-03-05T13:05:00Z,1.824,1.825,1.821,1.823
22,2020-03-05T13:00:00Z,1.83,1.834,1.822,1.824
22,2020-03-05T12:55:00Z,1.834,1.834,1.829,1.829
22,2020-03-05T12:50:00Z,1.832,1.835,1.832,1.835
22,2020-03-05T12:45:00Z,1.833,1.833,1.83,1.832
22,2020-03-05T12:40:00Z,1.832,1.834,1.823,1.834
22,2020-03-05T12:35:00Z,1.839,1.839,1.833,1.833
22,2020-03-05T12:30:00Z,1.838,1.841,1.837,1.84
22,2020-03-05T12:25:00Z,1.842,1.842,1.839,1.839
22,2020-03-05T12:20:00Z,1.842,1.842,1.84,1.842
22,2020-03-05T12:15:00Z,1.841,1.844,1.839,1.843
22,2020-03-05T12:10:00Z,1.842,1.843,1.84,1.84
22,2020-03-05T12:05:00Z,1.844,1.844,1.841,1.841
22,2020-03-05T12:00:00Z,1.843,1.845,1.84,1.845
22,2020-03-05T11:55:00Z,1.84,1.842,1.84,1.842
22,2020-03-05T11:50:00Z,1.844,1.844,1.841,1.841
22,2020-03-05T11:45:00Z,1.848,1.848,1.84,1.84
22,2020-03-05T11:40:00Z,1.845,1.847,1.843,1.846
22,2020-03-05T11:35:00Z,1.839,1.844,1.838,1.844
