InstrumentID,FromDate,Open,High,Low,Close
22,2020-03-05T17:00:00Z,1.794,1.801,1.787,1.789
22,2020-03-05T15:00:00Z,1.815,1.826,1.792,1.81
22,2020-03-05T14:00:00Z,1.82,1.83,1.804,1.814
22,2020-03-05T13:00:00Z,1.83,1.834,1.801,1.821
22,2020-03-05T12:00:00Z,1.843,1.845,1.823,1.829
22,2020-03-05T11:00:00Z,1.843,1.856,1.838,1.842
22,2020-03-05T10:00:00Z,1.843,1.844,1.834,1.842
22,2020-03-05T09:00:00Z,1.839,1.851,1.836,1.843
22,2020-03-05T08:00:00Z,1.832,1.846,1.831,1.84
22,2020-03-05T07:00:00Z,1.829,1.836,1.829,1.833
22,2020-03-05T06:00:00Z,1.837,1.838,1.828,1.828
22,2020-03-05T05:00:00Z,1.833,1.839,1.825,1.838
22,2020-03-05T04:00:00Z,1.833,1.835,1.831,1.834
22,2020-03-05T03:00:00Z,1.837,1.838,1.831,1.832
22,2020-03-05T02:00:00Z,1.839,1.84,1.834,1.838
22,2020-03-05T01:00:00Z,1.843,1.843,1.838,1.84
22,2020-03-05T00:00:00Z,1.84,1.842,1.832,1.842
22,2020-03-04T23:00:00Z,1.836,1.841,1.832,1.841
22,2020-03-04T21:00:00Z,1.839,1.844,1.834,1.836
22,2020-03-04T20:00:00Z,1.83,1.841,1.829,1.839
22,2020-03-04T19:00:00Z,1.819,1.838,1.815,1.831
22,2020-03-04T18:00:00Z,1.814,1.827,1.809,1.818
22,2020-03-04T17:00:00Z,1.806,1.823,1.804,1.813
22,2020-03-04T16:00:00Z,1.821,1.831,1.809,1.81
22,2020-03-04T15:00:00Z,1.832,1.837,1.815,1.823
22,2020-03-04T14:00:00Z,1.807,1.848,1.803,1.834
22,2020-03-04T13:00:00Z,1.813,1.82,1.797,1.806
22,2020-03-04T12:00:00Z,1.801,1.82,1.799,1.818
22,2020-03-04T11:00:00Z,1.799,1.801,1.79,1.8
22,2020-03-04T10:00:00Z,1.795,1.806,1.788,1.791
22,2020-03-04T09:00:00Z,1.798,1.81,1.792,1.796
22,2020-03-04T08:00:00Z,1.785,1.8,1.784,1.797
22,2020-03-04T07:00:00Z,1.812,1.812,1.789,1.791
22,2020-03-04T06:00:00Z,1.812,1.813,1.804,1.806
22,2020-03-04T05:00:00Z,1.815,1.815,1.807,1.813
22,2020-03-04T04:00:00Z,1.811,1.814,1.809,1.814
22,2020-03-04T03:00:00Z,1.81,1.823,1.81,1.812
22,2020-03-04T02:00:00Z,1.811,1.813,1.807,1.809
22,2020-03-04T01:00:00Z,1.811,1.816,1.809,1.81
