InstrumentID,FromDate,Open,High,Low,Close
22,2020-03-01T22:00:00Z,1.686,1.856,1.68,1.789
22,2020-02-16T22:00:00Z,1.883,2.018,1.864,1.909
22,2020-02-09T22:00:00Z,1.814,1.877,1.767,1.85
22,2020-02-02T22:00:00Z,1.871,1.9,1.814,1.858
22,2020-01-26T22:00:00Z,1.91,1.95,1.807,1.85
22,2020-01-19T22:00:00Z,1.948,1.952,1.811,1.87
22,2020-01-12T22:00:00Z,2.189,2.216,1.981,1.982
22,2020-01-05T22:00:00Z,2.1,2.202,2.099,2.182
22,2019-12-29T22:00:00Z,2.236,2.248,2.072,2.107
22,2019-12-22T22:00:00Z,2.246,2.281,2.167,2.234
22,2019-12-15T22:00:00Z,2.283,2.351,2.218,2.301
22,2019-12-08T22:00:00Z,2.194,2.337,2.19,2.292
22,2019-12-01T22:00:00Z,2.299,2.493,2.281,2.341
22,2019-11-24T22:00:00Z,2.721,2.723,2.263,2.284
22,2019-11-17T22:00:00Z,2.695,2.712,2.559,2.689
22,2019-11-10T22:00:00Z,2.749,2.775,2.635,2.725
22,2019-11-03T22:00:00Z,2.82,2.939,2.795,2.831
22,2019-10-27T21:00:00Z,2.519,2.763,2.515,2.73
22,2019-10-20T21:00:00Z,2.491,2.513,2.401,2.467
22,2019-10-13T21:00:00Z,2.397,2.526,2.391,2.511
22,2019-10-06T21:00:00Z,2.412,2.431,2.319,2.386
22,2019-09-29T21:00:00Z,2.428,2.472,2.292,2.432
22,2019-09-22T21:00:00Z,2.547,2.625,2.417,2.436
22,2019-09-15T21:00:00Z,2.692,2.737,2.536,2.555
22,2019-09-08T21:00:00Z,2.55,2.666,2.515,2.646
22,2019-09-01T21:00:00Z,2.295,2.53,2.276,2.512
22,2019-08-25T21:00:00Z,2.167,2.315,2.162,2.294
22,2019-08-18T21:00:00Z,2.161,2.235,2.127,2.165
22,2019-08-11T21:00:00Z,2.134,2.265,2.093,2.196
22,2019-08-04T21:00:00Z,2.08,2.155,2.034,2.125
22,2019-07-28T21:00:00Z,2.155,2.326,2.08,2.138
22,2019-07-21T21:00:00Z,2.219,2.303,2.149,2.153
22,2019-07-14T21:00:00Z,2.439,2.439,2.214,2.23
22,2019-07-07T21:00:00Z,2.441,2.48,2.348,2.44
22,2019-06-30T21:00:00Z,2.303,2.424,2.201,2.385
22,2019-06-23T21:00:00Z,2.176,2.35,2.169,2.3
22,2019-06-16T21:00:00Z,2.385,2.406,2.129,2.17
22,2019-06-09T21:00:00Z,2.332,2.403,2.311,2.385
22,2019-06-02T21:00:00Z,2.438,2.474,2.3,2.332
22,2019-05-26T21:00:00Z,2.605,2.642,2.439,2.462
22,2019-05-19T21:00:00Z,2.655,2.723,2.55,2.604
22,2019-05-12T21:00:00Z,2.634,2.689,2.609,2.65
22,2019-05-05T21:00:00Z,2.567,2.667,2.524,2.648
22,2019-04-28T21:00:00Z,2.579,2.636,2.552,2.57
22,2019-04-21T21:00:00Z,2.527,2.609,2.483,2.591
22,2019-04-14T21:00:00Z,2.677,2.683,2.516,2.535
22,2019-04-07T21:00:00Z,2.687,2.751,2.681,2.684
22,2019-03-31T21:00:00Z,2.682,2.743,2.652,2.693
22,2019-03-24T21:00:00Z,2.737,2.792,2.669,2.683
22,2019-03-17T21:00:00Z,2.79,2.891,2.724,2.773
22,2019-03-10T21:00:00Z,2.836,2.856,2.757,2.795
22,2019-03-03T22:00:00Z,2.851,2.89,2.813,2.863
22,2019-02-24T22:00:00Z,2.775,2.866,2.732,2.843
22,2019-02-17T22:00:00Z,2.635,2.744,2.624,2.724
22,2019-02-10T22:00:00Z,2.657,2.729,2.582,2.655
22,2019-02-03T22:00:00Z,2.686,2.713,2.556,2.618
22,2019-01-27T22:00:00Z,2.839,2.899,2.711,2.717
22,2019-01-20T22:00:00Z,3.132,3.147,2.886,3.019
22,2019-01-13T22:00:00Z,3.166,3.442,3.044,3.2
22,2019-01-06T22:00:00Z,2.862,3.043,2.85,3.031
